Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,height,manufacturer_name,manufacturer_part_number,mouser part number,mouser price/stock
1,,Battery_Cell-device,BT?,Battery_Cell-device,CH28-2032,1,,5c70984412875079b91f87ec,,,,,
2,Single-cell battery,Battery_Cell,BT?,lion,,1,~,,,,,,
3,,C-RESCUE-LION2CELL01C,C?,100nF,SMD-0805,1,,,,,,,
4,,C-device,C?,1uF,SMD-0805,1,,5c70984712875079b91f8b50,,,,,
5,,C-device,C?,4u7,SMD-0805,1,,5c70984712875079b91f8b52,,,,,
6,,EMI_Filter_C-device,C?,EMI_Filter_C,FIR1,1,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/emc/emifil/c31e.ashx?la=en-gb,,,,,,
7,,LED-device,D?,HLMP-K150+FIX-LED-313,FIX-LED-313,1,,5c70984712875079b91f8b67,,,,,
8,,D-device,D?,M4,SMA_Standard,1,,5c70984512875079b91f88ac,,,,,
9,,LED-RESCUE-LION2CELL01C,D?,ORAGE,LED_1206,1,,,,,,,
10,Fuse,Fuse,F?,1.1A,,1,~,,,,,,
11,,Polyfuse-device,F?,1.2A,1812,1,,5c70984512875079b91f88d2,,,,,
12,"Family Overvoltage Protection Device for 1-Cell Li-Ion Batteries, with 4.35v OVP",BQ294602DRVR,IC?,BQ294602DRVR,SON65P200X200X80-7N,1,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fbq2946,,0.8,Texas Instruments,BQ294602DRVR,595-BQ294602DRVR,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/BQ294602DRVR?qs=3jfYfyvUSwAEHeUsQ5zEVQ%3D%3D
13,F-RAM Excelon LP 40 MHz 8-EIAJ,CY15B108QN-40SXI,IC?,CY15B108QN-40SXI,SOIC127P800X203-8N,1,https://www.mouser.in/datasheet/2/196/CYPR_S_A0011123055_1-3004611.pdf,,2.03,Infineon / Cypress,CY15B108QN-40SXI,727-CY15B108QN-40SXI,https://www.mouser.co.uk/ProductDetail/Infineon-Cypress/CY15B108QN-40SXI?qs=P1JMDcb91o4DSS%2FkAQM5uA%3D%3D
14,Power Management Specialized - PMIC 2.5A Supercapacitor Backup Power Manager,LTC4041EUFD#PBF,IC?,LTC4041EUFD#PBF,QFN50P400X500X80-25N-D,1,https://www.analog.com/media/en/technical-documentation/data-sheets/LTC4041.pdf,,0.8,Analog Devices,LTC4041EUFD#PBF,584-4041EUFDPB,https://www.mouser.co.uk/ProductDetail/Analog-Devices/LTC4041EUFDPBF?qs=gTYE2QTfZfRpspSzeZf9Cw%3D%3D
15,"Generic connector, single row, 01x07, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x07_Female,J?,Conn_01x07_Female,,1,~,,,,,,
16,,HEADER_2x01_PARALLEL-MLAB_HEADER,J?,HEADER_2x01_PARALLEL,Straight_2x01,1,,,,,,,
17,,JUMP_2x1,J?,JUMP_2x1,Straight_1x02,1,,,,,,,
18,,SD_Card-Connector,J?,MCC-SD,SD_TE_2041021,1,http://portal.fciconnect.com/Comergent//fci/drawing/10067847.pdf,5c70984412875079b91f87f2,,,,,
19,,L-device,L?,10uH - LQH32CN100K23L,SMD-1210,1,,5c70984412875079b91f87ff,,,,,
20,Inductor,L,L?,1uH - DFE252012P-1R0M=P2,,1,~,,,,,,
21,Inductor,L,L?,XAL-6030-182 1.8 uH,,1,~,,,,,,
22,,MOSFET-N,Q?,IRLML6244,SOT-23,1,,,,,,,
23,"0.2A Id, 200V Vds, N-Channel MOSFET, 2.6V Logic Level, TO-92",2N7000,Q?,SIR424DP,TO-92_Inline,1,https://www.vishay.com/docs/70226/70226.pdf,,,,,,
24,,R-RESCUE-LION2CELL01C,R?,10k,SMD-0805,1,,,,,,,
25,Resistor,R,R?,10k,,1,~,,,,,,
26,Resistor,R,R?,100k,,1,~,,,,,,
27,,R-device,R?,-,SMD-0805,1,,,,,,,
28,Single Pole Single Throw (SPST) switch,SW_SPST,SW?,5MS1S102AM6QE,5MS1S102AM6QE,1,~,5c70984712875079b91f8b66,,,,,
29,,SW_PUSH,SW?,SW_PUSH,SW_PUSH_SMALL,1,,,,,,,
30,Temperature dependent resistor,Thermistor,TH?,NCP21XV103J03RA,,1,~,,,,,,
31,,ATMEGA1284P-AU-atmel,U?,ATMEGA1284P-AU,TQFP-44_10x10mm_P0.8mm,1,http://www.atmel.com/Images/Atmel-8272-8-bit-AVR-microcontroller-ATmega164A_PA-324A_PA-644A_PA-1284_P_datasheet.pdf,5c70984412875079b91f888e,,,,,
32,,BQ34Z100,U?,BQ34Z100,TSSOP-14_4.4x5mm_Pitch0.65mm,1,,,,,,,
33,,PCF85263A-MLAB_IO,U?,PCF85263A,TSSOP-10_3x3mm_Pitch0.5mm,1,,5c70984612875079b91f8a0c,,,,,
34,"Switching Voltage Regulators 1.5-A output current, high power density buck-boost converter",TPS631000DRLR,U?,TPS631000DRLR,SOTFL50P160X60-8N,1,https://www.ti.com/lit/ds/symlink/tps631000.pdf?ts=1652152702265,,0.6,Texas Instruments,TPS631000DRLR,595-TPS631000DRLR,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS631000DRLR?qs=rSMjJ%252B1ewcRYwoN2deTeNA%3D%3D
35,Two pin crystal,Crystal,Y?,8MHz,Crystal_HC49-U_Vertical,1,~,5c70984712875079b91f8b10,,,,,
36,,Crystal-device,Y?,ABS07-120-32.768KHZ-T,ABS07,1,,5c70984712875079b91f8b1b,,,,,
